gene_id	RCC_115	RCC_90	RCC_41	RCC_73	RCC_105	PD_007T	PD_011T	PD_012T	PD_018T	PD_019T	PD_020T	PD_022T	PD_024T	PD_026T	RCC_14	RCC_93	RCC_96	RCC_102	RCC_117	RCC_106	RCC_18	RCC_21	RCC_50	RCC_27	PD_005T	PD_010T	PD_013T	PD_014T	PD_015T	PD_021T	PD_023T	PD_025T	RCC_99
DPAGT1	29.04	1.83	23.59	18.18	17.37	18.09	22.49	17.27	11.62	11.87	14.7	14.19	24.84	24.66	12.6	25.29	29.09	11.71	31.28	34.23	9.7	29.94	17.07	42.86	14.36	14.48	10.65	8.62	11.2	28.29	16.62	15.68	22.96
BSG	233.73	60.91	315.96	320.49	742.53	138.11	133.07	128.98	135.06	134.33	54.15	95.89	116.31	170.64	255.5	273.49	471.27	716.02	452.39	165.79	72.01	273.22	214.91	308.63	197.64	74.38	99.93	117.73	200.21	139.78	62.23	93.68	169.79
HINFP	7.95	3.56	3.17	3.75	1.83	16.32	21.18	12.78	13.17	8.23	7.85	12.77	19.46	29.28	2.59	4.2	26.03	7.05	10.19	12.47	0.93	9.67	4.1	6.29	10.7	11.32	6.38	13.97	12.58	17.95	23.07	12.54	6.99
CDY1	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10V1	0	0	0	0	0	0	0	0.27	0	0.04	0.86	0	0.97	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.1	0	0
CERS6	8.01	0.38	6.92	6.86	5.06	2.99	1.83	2.86	2.33	3.31	2.2	1.98	3.99	2.18	1.58	10.71	10.42	2.39	3.82	7.59	2.98	8.72	2.71	10.4	1.47	0.91	2.69	2.26	2.21	2.7	2.98	2.42	8.26
SPTLC3	38.95	5.6	67.8	3.47	35.07	5.84	8.8	13.22	15.85	3.34	1.69	6.26	13.7	10.43	6.09	5.39	16.74	12.25	19.88	10.91	4.81	5.18	3.46	25.04	13.72	12.4	5.64	10.12	9.32	15.85	9.1	3.84	9.4
COPRS	43.66	46.69	22.58	33.03	62.08	9.22	3.69	5.25	6.13	5.65	5.81	6.32	5.05	9.58	22.55	26.81	35.32	57.66	70.8	30.37	22.07	29.55	51.03	32.96	9.59	2	3.69	5.03	7.79	17.56	3.67	5.14	42.26
TP53RK	3.3	8.65	6.97	5.99	5.99	1.41	1.55	1.7	1.1	1.08	1.15	1.27	3.38	2.17	4.81	5.51	11.81	4.29	4.24	4.76	2.46	4.06	5.77	10.36	1.61	0.54	1.32	1.47	1.24	1.79	0.95	1.64	4.06
B3GALT1	0	0	0.09	0.11	0	0.12	0	0.21	0.22	0.16	0.01	0.02	0.09	0.03	0	0	0	0.08	0	0.72	0	0.1	0	0	0	0.4	0.03	0.21	0.06	0.09	0.01	0.06	0.07
OR5A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLEC12A	14.01	43.63	18.43	0.45	1.18	0.52	16.67	4.23	4.82	0.79	4.76	2.19	17.66	0.76	3.67	19.55	3.32	2.85	11.75	16.04	1.76	1.5	22.11	7.63	3.02	0.66	1.95	1.06	1.32	2.98	3.99	3.42	4.58
OR5A2	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0
BPGM	23.04	11.35	40.46	9.78	10.02	1.9	7.93	5.49	6.59	3.01	2.96	4.19	5.91	34.35	18.16	17.76	24.68	10.62	25.43	25.81	6.73	11.23	14.43	43.94	6.77	3.55	4.43	5.12	4.6	16.88	6.35	5.49	12.49
POP7	17.12	57.19	11.03	42.32	18.27	15.25	15.99	13.65	18.36	7.64	9.16	5.34	8.77	13.27	16.25	19.77	28.08	25.06	24.15	12.76	14.14	22.51	37.82	27.39	13.85	10.95	7.48	12.35	20.07	19.04	12.41	18.61	32.39
ALG14	0.41	2.9	3.99	0.73	0.91	1.96	3.11	2.63	3.11	1.44	1.88	1.49	2.22	2.88	0.96	0.78	0.44	1.09	0.89	1.6	0.99	2.67	5.99	1.17	3.6	0.82	1.64	2.33	2.52	2.91	1.15	2.56	2.12
SUCLG2	36.43	20.61	93.8	31.52	41.82	18.5	19.32	44.83	36.7	21.81	14.4	17.22	19.94	25.19	24.14	41.53	35.36	18.2	20.16	50.45	73.08	29.26	30.24	55.45	25.43	7.47	18.09	24.45	21.59	26.14	13.9	16.91	72.23
STARD5	2.52	0.23	2.22	0.52	0.85	0.94	1.81	2.48	0.87	1.11	2.24	1.57	0.98	0.37	1.47	4.78	2.21	2.66	5.63	9.72	5.2	1.46	5.6	7.13	2.86	0.21	0.41	0.46	0.42	0.68	0.74	1.28	2.04
CSDC2	0.38	0	0	0.41	10.48	0.21	0.1	0.05	0.22	0.23	0.16	0.17	0.28	0.08	0	0.48	6.34	0.58	6.73	2.53	0.15	0.38	0.21	10.52	4.19	0.2	0	0.08	0.12	0.16	0.01	0.64	0
RCAN2	5.7	0.72	19.85	17.95	3.68	8.05	14.64	20.68	8.61	4.7	0.95	11.32	2.22	99.45	3.05	11.75	72.09	15.24	20.47	18.7	8.67	5.12	6.1	52.2	14.59	9.57	4.11	12.11	11.11	33.29	23.35	21.18	0.85
IL16	13.99	2.34	29.87	4.33	5.79	7.67	32.1	5.98	12.87	7.31	29.81	5.13	63.87	5.55	19.84	13.25	13.85	12.28	38.07	25.32	5.16	5.93	26.92	11.7	6.32	6.04	6.99	19.35	8	12.61	15.56	26.48	5.83
ABCG4	0	0	0	0.14	0.18	0.35	0.22	0.28	0	0.04	0	0.34	0.25	0.12	0	0	0	0.41	0.22	0.61	0.2	0	0	0.55	0.11	0.03	0.33	0.22	0.08	0	0.39	0.39	0
CDY1B	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNB2	76.81	27.57	80.06	170.63	80.11	92.69	72.04	59.04	83.29	71.77	38.05	73.78	70.92	65.51	63.23	94.66	97.09	198.59	149.67	94.28	42.41	135.92	222.36	107.72	59.13	51.15	51.31	84.15	107.92	107.72	96.37	100.69	131.52
CFAP53	1.82	0.66	0.27	0.98	2.54	1.42	1.68	0.46	1.28	1	0.36	1.52	1.42	0.45	0.85	0.77	1.14	2.55	1.63	0.45	0	0.3	1.35	0	1.31	0.88	0.4	0.58	1.53	2.86	0.79	0.37	0
OR5B12	0	0	0	0	0	0	0	0.02	0.02	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.03	0	0.03	0	0.03	0.03	0	0
OR5B2	0	0	0	0	0	0	0.04	0	0.04	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.02	0.13	0.05	0.03	0	0.09	0
FAM195A	14.37	29.23	9.02	12.27	22.09	2.78	3.66	5.53	10.43	2.04	3.02	2.58	5.3	10.4	8.9	2.34	25.59	46.19	33.94	13.07	3.93	4.67	17.62	8.12	5.8	2.23	3.32	4.36	6.58	5.75	1.5	5.33	12.06
PDZD3	19.12	3.85	3.86	0	0.62	2.63	11.46	2.12	6.13	0.2	1.74	1.4	2.55	0.58	0.98	0.38	12.14	3.84	37.23	0.89	0	0.29	0	0	4.28	1.22	2.49	10.09	9.78	13.47	0.15	0.83	5.14
C2CD2L	5.42	0.71	4.59	2.22	0.58	4.68	9.97	5.33	8.21	3.06	8.24	3.8	15.11	10.31	4.31	6.39	6.45	5.8	8.22	7.46	1.38	4.94	6.28	7.28	5.63	5.17	5.45	6.56	4.59	7.2	7.27	7.86	3.53
OR9I1	0	0	0	0	0	0	0.47	0.13	0.46	0.02	0.19	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0.13	0.09	0.64	0.59	1.02	0.27	0.18	0
ARNT2	13.16	0.08	16.43	26.33	14.12	17.53	16.54	21.82	6.46	4.44	1.6	16.63	21.73	106.15	2.57	0.85	9.59	2.56	8.39	4.97	1.2	8.16	6.03	6.22	21.6	21.23	8.65	7.61	7.92	34.08	4.26	11.3	0.17
GNG12	45.1	11.19	88.57	26.78	35.61	0.86	1.34	0.97	1.35	1.11	0.49	1.3	1.74	1.32	29.03	23.62	50.34	16.57	19.2	54.09	14.24	40.51	21.11	46.56	1.49	0.51	0.53	0.87	1.2	2.05	0.69	0.6	17.78
OR6Q1	0	0	0	0	0	0	0.13	0.2	0.06	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0.02	0.12	0.43	0.07	0	0.04	0	0
PRSS27	0	0	0	1.21	0.52	0.55	0.08	0.43	0.55	0.17	0.04	0.28	0.09	0.62	0	0	0.71	0.85	0.79	0.86	0	0.56	0	0	0.27	0.2	0.38	0.66	0.33	0.64	0.41	0.4	0.87
MYOZ2	0	0	0	0.67	0	0.13	0.15	0.04	0.03	0.05	0.06	0.05	0.07	0.04	0	0	0	0	0	0.3	0	0	0	0	0.01	0	0.01	0.03	0.03	0.03	0.18	0.11	0
SYNPO2	7.07	0	2.24	8.85	0.41	24.31	16	13.5	11.75	26.29	6.13	43.32	6.49	6.08	0.05	3.42	6.06	2.44	0.53	26.87	1.61	2.54	3.18	8.81	8.22	4.22	6.23	55.71	23.09	23.62	27.52	69.59	0
DNAJB7	0	0	0	0	0	0.24	0.55	0.07	0.3	0.16	0.21	0.15	0.06	0.33	0	0	0	0	0	0	0	0	0	0	0.06	0.08	0.07	0.36	0.27	0.73	0.14	0.12	0
CLP1	14.45	2.53	14.45	13.13	7.18	9.11	5.16	5.35	3.29	1.29	3.72	1.31	12.93	6.14	8.13	12.14	13.41	6.5	7.26	21.72	9.12	15.33	11.87	21.34	8.7	1.78	4.35	4.31	3.71	7.89	5.42	9.43	14.1
INSL5	0	0	0	0	0	0	0	0	0.03	0	0.03	0	0	0	0	0	0	0.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFCAB3	0	0	0	0	0	0.05	0	0.01	0	0	0	0	0.41	0	0	0	0	0	0	0	0	0	0	0	0.18	0.02	0	0	0	0	0	0	0
TTC36	0	0	0.76	0	0	0	0.1	0	0.02	0	0	0.03	0	0.2	0	0	0	0	0	1.27	61.33	0	0	0	0.59	0.07	0.04	0.04	0.26	0.19	0.13	0	0
RSPH9	0	0.26	0	1.62	0.8	1.3	1.97	0.56	0.51	0.62	0.05	0.49	1.12	0.36	0.54	0	0	1.52	2.02	0.67	0.38	2.04	0	0.55	1.14	0.55	0.47	0.61	0.35	0.09	0.26	0.12	0.69
MYEOV2	147.02	1123.64	237.59	189.73	251.16	9.15	14.89	13.48	13.88	11.42	7.62	9.77	6.82	13.62	148.43	184	135.88	202.15	188.42	78	105.64	242.55	170.24	196.86	12.8	3.96	12.46	4.03	12.08	12.89	5.87	8.65	125.9
GTPBP2	29.02	10.33	6.12	8.02	8.71	9.9	16.69	9.84	12.8	12.84	6.38	7.03	24.62	25.13	8.97	11.86	49.37	10.4	22.17	45.3	1.62	26.51	9.62	27.5	6.33	11.98	10.22	10.71	10.62	15.54	10.66	9.5	24.51
FGGY	15.39	9.31	17.92	8.05	19.6	23.13	28.28	20.93	93.04	14.1	51.74	47.71	41.81	17	9.59	19.84	30.44	29.69	29.16	13.55	31.12	10.65	15.27	12.83	28.25	26.34	21.27	35.96	40.88	57.92	28.82	14.11	52.02
OR9G4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL17D	0.97	0	0	0.98	1.7	0.09	0	0.05	0	0.01	0	0	0.05	0	0.33	0.62	4.29	0.69	1.03	2.98	0.23	0.47	1.54	0	0	0	0.01	0.03	0.04	0.02	0	0.02	0.36
FUT9	0.55	0.04	0	0	0.03	0	0	0	0.01	0.02	0	0	0.01	0.02	0	0	1.2	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR5AP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCEAL1	17.75	39.06	23.94	22.75	13.13	13.86	8.46	12.17	18.81	11.1	7.41	20.55	15.98	21.62	9.27	23.36	25.27	9.42	23.11	26.3	7.2	43.93	20.11	37.03	8.6	7.39	12.8	20.77	16.75	36.61	18.71	23.17	7.3
ZNF24	15.49	1.48	17.75	12.92	9.19	13.15	12.46	9.6	7.9	6.5	3.54	10.09	11.25	15.55	6.73	8.87	16.52	7.64	9.11	25.47	7.54	12.86	6.16	26.52	8.84	4.97	6.79	6.95	6.49	12.03	6.29	9.95	4.96
HSFY1	0	0	0	0	0	0.35	0.23	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0.01	0.21	0.02	0	0.32	0	0.21	0.38	0
MANEA	13.13	2.67	11.04	4.77	2.94	18.19	20.31	11.72	9.51	4.43	21.64	19.7	17.7	10.75	3.46	8.29	12.86	1.7	2.24	10.87	10.32	5.97	4.38	14.07	9.24	6.49	6.48	13.49	14.75	29.37	9.98	11.73	5.94
RAB40A	0.33	0	0	0	0.14	1.41	0.84	0.34	1.27	2.59	0.32	0.91	0.45	0.76	0	0.58	1.72	0.34	0	0	0	0.71	0	1.32	2.25	0.68	0.51	0.62	1.01	2.72	1.38	0.48	0.47
C2orf54	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.32	0	0	0	2.66	0	0	0	0	0.03	0	0	0	0	0.02	0.01	0
AGXT	0	0	0	0.32	0	2.42	0	0	0.03	0	0	0.05	0	0	0.92	19.66	0	0.23	0.43	0.45	367.92	0.81	0	0	0.01	0	0.09	0.06	0.04	0.02	0	0	0
OR8J1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR5T3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFF1	21.88	1.2	23.8	13.05	12.07	196.92	279.83	234.15	290.31	110.85	151.1	232.37	452.92	196.43	8.28	12.47	22.02	5.77	18.1	32.5	3.3	13.81	7.49	24.48	185.47	108.62	129.78	178.81	257.96	625.01	154.61	264.03	6.73
ACOT12	0	0	0	0	0	0.03	0	0.7	0.84	0.07	0.03	0	0	0.1	0	1.51	0.33	0	0	0	13.34	0	0	0	0	0.15	0	0.13	0	0	0.12	0.08	0
FIBP	53.68	39.94	38.66	75.66	79.51	35.87	29.95	32.62	24.2	46.96	16.56	24.56	19.78	26.39	34.97	49.42	111.18	123.86	84.99	64.15	18.24	69.42	72.97	53.24	45.83	13.48	19.86	16.07	24.06	63.4	27.74	22.9	53.72
CARNS1	0	0	1.67	0.7	0	0.21	0.22	0.24	0.25	7.78	0.25	3.95	1.31	0.45	0	0	2.09	0.3	6.39	3.08	0.3	0.38	1.59	0	0.1	0.16	0.07	0.44	0.28	0.35	0.17	0.18	0
OR10H5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0
BANP	5.6	0.54	4.8	7.1	4.38	14.94	21.5	10.41	11.81	7.49	7.1	15.9	37.21	25.67	2.27	1.83	5.92	4.2	8.04	5.75	3.63	4.46	5	9.15	10.93	9.93	10.2	18.82	17.22	40.8	13.65	17.72	3.91
PPP1CA	141.37	117.57	108.9	98.88	91.14	45.21	42.63	30.11	34.99	45.65	26.51	34.52	35.55	42.44	83	115.42	119.95	227.21	218.49	111.54	36.97	103.61	85.98	106.46	32.77	19.14	26.79	29.05	34.14	47.21	40.16	33.46	137.05
HCFC1	16.67	0.34	5.85	9.6	9.91	8.1	9.04	5.61	7.64	4.61	5.39	5.87	9.76	10.36	9.87	8.54	14.15	9.85	20.08	10.27	1.86	11.78	8.21	7.2	4.28	3.73	5.5	5.92	5.21	10.83	5.55	6.19	2.37
FAM170B	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0
CTSW	8.11	2.31	56.28	0	1.5	2.34	19.01	4.34	8.85	2.79	14.03	1.75	35.83	0.55	21.1	12.14	5.83	13.76	69.07	14.24	7.66	6.55	64.61	2.41	0.91	6.18	4.62	6.32	2.65	4.1	4.96	4.93	7.52
NIPAL4	0.31	0.26	0	0	0.53	0.14	0.13	1.04	0.2	0.58	0.42	0.01	0.83	0.19	0	0	0	0	0	0	0	0.78	0.18	14.32	0.08	0.23	0.1	0.63	0.2	2.34	0.61	15.42	0.24
MUCL1	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0.06	0	0	0	152.68	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0
SNTG2	0.94	0	3.84	1.51	0	0	0.56	1.74	3.53	0.09	0.19	0.04	0.88	0.14	3.05	0	0	1.03	0	0	0	0	0	0	0.3	1.14	0.56	0.09	0.21	0.57	0.58	0.04	0.31
FNDC9	0	0	0	0	0	0.23	1.45	0.32	1.61	0.39	0.37	0	1.42	1.25	0	0	0.32	0	0	0	0	0	0	0	0.34	0.74	0.03	1.14	0.32	0.62	0.68	0.64	0
PDE3A	2.1	0.07	0.79	2.32	0.62	22.58	15.62	9.97	6.4	10.3	0.96	20.66	2.1	11.48	0.46	3.38	3.25	1.2	0.62	5.6	1.13	0.57	1.09	8.24	3.65	5.62	13.51	23.65	17.85	12	22.2	15.75	0
RASGRP1	1.54	0.16	7.71	4.01	1.64	6.84	26.15	4.92	19.13	7.26	11.04	13.02	67.19	4.09	1.9	2	3.92	1.59	3.85	4.84	0.95	2.1	13.86	4.92	9.56	27.63	3.77	11.94	5.61	31.81	4.55	5.77	2.57
KLHL6	3.86	0.2	5.92	1.28	0.79	0.43	1.72	0.64	1.07	0.58	3.49	0.45	2.95	0.26	2.89	4.01	6.48	0.47	2.81	7.12	0.48	1.11	2.91	5.04	1.59	0.36	1.02	1.44	0.66	0.88	1.67	1.28	1.08
CHCHD1	43.97	59.07	24.14	48.5	30.88	3.01	3.5	5.95	6.17	4.63	3.89	2.66	3.77	5.83	23.83	25.74	22.99	60.4	63.87	37.58	17.09	32.35	23.54	37.77	9.52	1.63	2.93	2.97	4.17	4.29	2.8	5.2	18.77
MRPL52	48.08	167.87	30.45	72.06	84.68	30.8	23.32	26.41	27.88	20.36	18.22	19.63	20.11	33.55	37.34	95.98	74.99	195.78	49.33	26.65	73.3	60.09	71.13	100.12	14.29	8.51	20.48	19.23	34.23	43.91	18.65	19.46	55.12
SMPDL3A	12.35	34.73	56.38	17.2	13.09	24.77	57.46	45.39	66.55	7.88	18.95	39.17	66.72	19.96	32.65	17.96	58.12	80.53	29.93	87.73	21.09	16.38	59.37	54	23.94	38.38	34.53	33.79	72.17	68.68	10.45	21.11	78.3
RND1	1.03	3.92	1.52	1.1	1.43	0.66	0.15	0.19	0.05	0.29	0.29	0.75	0.13	0.55	3.43	3.92	0.43	4.48	5.06	3.06	4.46	0.34	2.25	2.6	0.65	0.28	1.06	1.19	0.32	0.64	0.45	0.2	0.26
RAD9A	7.03	1.83	0.95	4.93	2.67	5.19	8.84	4.11	1.61	4.58	3.63	2.08	8.6	3.05	2.88	3.5	11.92	15.9	16.66	25.2	1.66	4.89	3.97	1.82	2.72	3.4	2.32	4.74	4.68	4.74	3.77	3.78	2.8
EFEMP2	72.33	10.51	52.63	137.53	69.43	216.05	106.05	33.65	32.9	97.06	7.64	137.04	47.17	84.19	19.92	60.11	50.55	104.09	13.53	88.09	6.62	140.35	42.89	62.87	55.77	21.83	73.99	60.14	115.74	125.36	117.35	76.71	0.99
OR10AD1	0.61	0	0	0	0	0.12	0.83	0.47	0.06	0.22	0.21	0.1	0.37	0.95	0	0	0	0	0	0	0	0	0	0	0.09	0.21	0.14	0.27	0.2	0.48	0.62	0.24	0
AGAP5	2.68	0.24	0.2	0	0.25	16.6	39.74	16.92	26.6	16.99	15.39	10.92	30.95	28.5	0.21	0.56	4.95	0.57	0.97	5.8	0	3.69	0	2.23	16.23	12.22	9.3	19.1	18.94	40.01	20.29	18.73	0.7
FAM21C	18.4	0	10.62	7.59	9.79	65.84	111.96	108.38	104.74	62.15	58.14	58.89	153.93	111.58	5.27	9.58	15.43	2.62	9.97	20.96	1.81	6.41	3.61	19.47	57.95	46.66	46.57	65.68	72.56	114.77	70.06	100.58	1.65
TMEM134	39.93	30.74	30.89	37.77	14.1	28.63	37.97	14.69	26.05	11.72	13.36	18.36	23.83	13.78	17.93	22.88	49.79	81.55	56.03	17.23	14.76	26.89	58.77	40.57	26.89	13.13	13.89	15.76	19.03	35.62	17.03	19.84	26.21
ZMAT3	7.09	0.64	8.1	5.12	8.99	8.2	16	14.6	7.13	11.13	4.51	10.58	20.21	19.31	1.32	6.21	10.24	3.45	4.05	9.73	2.17	5.5	4.01	12.04	10.87	3.31	5.39	6.82	4.4	6.66	5.26	13.88	0.42
ZFAND4	7.27	0.28	2.79	1.04	4.19	1.59	3.49	2.64	2.63	1.1	1.97	1.84	6.38	1.76	1.39	1.45	1.39	2.11	4.39	5.74	1.07	4.13	1.26	1.8	1.76	1.36	1.23	2.16	2.78	4.79	1.21	2.71	2.96
THEMIS	0.92	0.37	7.88	0	0.22	0.56	3.51	0.25	1.79	0.39	2.2	0.75	6.74	0.07	0.94	2.18	1.79	0.51	2.32	1.77	0.1	0.26	3.7	0	0.33	0.93	0.69	1.39	0.4	1.12	1.02	0.72	1.19
MOS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF738	5.02	1.9	3.42	6.75	2.7	5.4	2.58	2.08	2.68	1.15	1.59	1.58	5.26	4.2	0.38	4.25	5.88	1.51	2.08	8.35	1.34	3.66	4.49	5.34	0.99	1.39	1.71	2.33	1.81	1.77	2.76	2.93	1.78
MS4A10	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0.29	0.18	0	0	0	0	0	0	0.17	0	0	0.01	0	0	0	0	0
SLFN11	19.94	3.1	55.13	8.4	13.94	20.14	18.22	9.97	17.89	4.37	12.27	6.08	16.35	3.43	9.14	18.25	22	7.5	13.55	48.86	3.19	25.44	30.72	67.8	10.02	17.5	7.56	12.63	13.09	35.57	8.34	12.28	9.04
FAM71D	0	0	0	0	0	0.08	0.67	0.11	0.16	0.02	0.01	0.24	0.17	0.32	0	0	0	0	0	0	0	0	0	0	0.54	0.1	0.14	0.49	0.01	0.13	0.04	0.18	0
CCL19	143.75	1.94	56.44	2.55	0	0.84	5.47	0.13	0.77	5.91	14.83	3.65	1.3	0.1	7.22	6.63	1.62	15.77	15.63	54.38	2.92	12.26	45.78	0	0.41	0.35	0.28	5.55	2.31	1.84	2.59	5.02	7.64
CORO1B	63.8	7.81	73.25	32.56	28.87	20.57	28.08	25.25	18.17	15.18	20.32	12.36	52.84	26.71	30.3	67.64	52.09	61.42	83.33	102.51	13.99	51.21	35.5	44.59	14.24	10.99	21.24	29.31	18.2	15.92	24.74	22.66	33.15
FUT10	4.97	1.88	2.62	1.64	5.1	8.54	9.01	5.15	7.88	2.56	5.74	6.2	8.19	9.81	0.53	1.57	9.4	2.54	2.29	3.82	1.23	0.54	1.37	1.89	4.85	3.67	2.84	6.16	3.91	8.85	7.59	5.59	3.49
LRRC20	15.35	0.7	4.14	3.44	7.54	0.15	1.62	1.23	2.33	2.3	1.12	0.95	3.16	1.88	1.91	1.58	5.12	7.89	7.71	4.01	4.53	11.37	11	8.04	4.44	1.07	0.65	1.23	1.88	2.8	0.81	1.27	1.9
MUS81	28.15	50.56	7.08	20.06	6.14	16.76	21.05	22.09	13.52	19.03	15.9	20.3	28.64	26.48	14.6	16.07	42.52	16.16	34.66	30.43	3.34	15.63	8.62	7.08	10.44	11.9	17.44	21.54	13.43	17.76	24.23	20.54	29.57
PURG	0	0	0	0	0.16	0.62	0.08	0.11	0.02	0.21	0.01	0.09	0.1	0.13	0	0	0.23	0	0	0	0	0	1.59	0	0.05	0.03	0.08	0.12	0.56	0.07	0.14	0.12	0
TMEM217	2.14	0	0	7.46	3.52	0.11	0.5	0.6	0.21	0.11	0.19	0.17	0.65	0.28	0	0.52	0	0	0.42	0	0	1.12	0	1.03	0.15	0.02	1.25	0.44	0.69	0.78	0.3	0.17	0.31
OR4D9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF596	2.18	2.81	0.67	5.73	1.84	9.66	2.35	6.4	1.48	1.61	1.25	2.76	4.31	3.98	0.27	5.95	11.16	2.74	3.28	4.21	2.04	0.56	1.47	1.44	1.18	1.71	0.8	2.94	2.67	2.49	4.68	1.38	2.19
COL6A5	0	0	0	0	0	0	0	0.21	0	0.05	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0.01	0.02	0.01	0.02	0.04	0.02	0	0	0
CFL1	574.12	193.68	519.19	872.5	638.07	138	158.5	127.75	116.17	144.27	73.6	94.49	136.09	110.52	491.96	812.38	667.67	675.13	840.95	552.83	211.64	828.41	734.99	770.63	123.21	49.96	97.71	79.68	87.81	113.5	115.3	120.19	682.91
TMCC1	11.56	49.19	411.47	79.46	9.87	80.97	56.48	81.08	87.91	16.36	3.46	66.78	18.35	6.58	92.7	233.19	461.75	13.42	22.36	358.42	6.17	30.06	18.42	26.81	82.95	18.42	57.35	51.1	82.2	78.76	49.14	63.38	140.06
NAA16	9.17	0.89	3.33	2.05	1.76	8.56	20.51	7.81	6.16	4.12	4.78	7.37	17.95	16.94	2.89	1.22	6.74	1.51	3.67	6.26	1.33	2.29	2.03	7.9	5.09	6.84	4.66	9.29	7.59	13.7	12.79	10.74	2.13
OR5B3	0	0	0	0	0	0	0.05	0.06	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0.07	0.16	0.03	0
EFCAB12	1.28	0.46	2.09	0.27	2.55	0.33	0.88	0.22	0.39	0.09	0.06	0.11	0.3	0.23	0.4	0	1.75	2.09	5.64	1.42	0.19	0	0.85	0.64	0.13	0.09	0.22	0.25	0.63	0.45	0.56	0.11	0.38
OR10W1	0	0	0	0	0	0	0.14	0.01	0	0.08	0.03	0.06	0.13	0	0	0	0	0	0	0	0	0	0	0	0.02	0.11	0.03	0.02	0.25	0.26	0.37	0.03	0
OR1S1	0	0	0	0	0	0	4	0.31	0	0.02	0.08	0	0.31	0.06	0	0	0	0	0	0	0	0	0	0	0.55	0.16	0	0.65	2.07	2.5	1.15	0.42	0
FAM192A	62.51	30.72	44.57	37.02	55.93	58.07	47.99	28.51	42.89	40.12	27.01	43.85	54.45	59.37	30.69	42.21	93.5	24.75	69.49	73.18	23.27	60.78	37.13	54.72	32.66	13.55	17.62	30.11	41.19	80.83	34.19	34.84	41.77
RAB43	9.95	0.64	5.19	4.76	7.94	1.4	1	0.69	0.69	0.75	0.62	0.89	1.49	0.78	8.78	11.95	6.01	5.21	7.06	9.59	11.23	10.21	4.9	19.73	1.06	0.23	0.82	1.07	1.59	1.25	0.44	0.78	1.63
FADS6	0	0	0	0	0	0	0.05	0.05	0	0	0	0	0	0	0	0.33	0	0	0	0	0.49	0	0	0	0	0	0	0	0.07	0	0	0	0
CBWD1	13.22	18.94	30.4	22.25	12.65	29.2	45	30.19	65.32	47.6	33.38	61.96	39.09	74.42	11.49	21.13	48.39	21.79	37.54	30.09	9.14	14.94	13.21	18.92	56.73	24.87	33.71	31.4	43.75	88.06	30.56	32.31	12.39
HOXC5	0	0	0	0	0.52	1.01	2.61	0.66	0.48	0.33	0.17	0.27	0.78	0.45	0	0	0.99	1.02	0	0.85	0	0	0	0	0.03	0.16	0.37	2.6	0.67	0.64	0.16	0.78	0
